"seller_name","seller_url","seller_url_status","platform","product_name","product_url","quantity","total_price","price_status","currency","industry","details","slug","has_images","reviewer","date","review_url","notes"
"Nanchang Keda Stationery Gifts Industrial","https://jxkeda.en.alibaba.com/","verified","Alibaba.com","custom pen kits","https://jxkeda.en.alibaba.com/product/1036693971-212687963/Taiwan_Pen_Kits_Manufacturers_Customized_all_size_Wood_Turning_Pen_kits_Various_of_Cheap_Metal_Accessories_pen_turning_parts.html","1","0","MISSING","AUD","Gifts & Crafts","May of 2024 I started working on a pen kit design via Alibaba with Nanchang Keda Stationery Gifts Industrial. It usually takes 3 to 4 months to get an order from start to finish. I sent samples in June and paid a deposit on Sept 2024 and received samples just before Christmas, Dec 2024. The kits were so terrible I couldn't actually assemble the pen kit. The art on the bands was terrible and looked like one big smudge with no detail. I obviously rejected them. Alibaba played the Assurance game and communicated with the supplier. We went back and forth and once again Alibaba Trade Assurance Program has no teeth. They refused to force the company to refund my deposit even after extensive documentation an photos on the 8 major problems. The Black Titanium finish(if that is what it really was) had lines around it as if were being threaded. It was rough and not polished and yet had a gummy coating that never seemed to come off. Just a coule pictures of the pathetic attempt. Nanchang agreed to remake the kits, I finally received the much improved, far from perfect kit, in May of 2025. They looked very nice and 78% went together without problem. 22% failure is still much too high for samples that have been groomed prior to shipping. The transmission will not go into the end cap hole. The brass on all kits was also not the size of my original samples which will cause problems for customers who have already purchased my brass in bulk. Nanchang claimed that the last two fixed were easy and want another deposit to continue. Over a year and still nothing to sell, Alibaba is useless, as is Nanchange Keda...be wary, be very wary. I now purchase my kits outside of Alibaba and have had great results. Alibaba seems to be a magnet for unscrupulous vendors looking to get something for nothing.","nanchang-keda-stationery-gifts-industrial-custom-pen-kits","True","WWP","12 months ago","","Quantity not stated — defaulted to 1 (custom sample order; flag for human review). Price not stated — MISSING. Currency not stated — defaulted to AUD per site convention. Product URL is best-effort: pen kits listing from the same verified seller store. Seller store URL confirmed via Alibaba search (jxkeda.en.alibaba.com). Reviewer explicitly mentions photos submitted to Alibaba Trade Assurance, so has_images=true."
"Cangnan Kangtai Paper Products Co., Ltd.","","not-found","Alibaba.com","paper products","","1","990","STATED","USD","Packaging & Printing","A Cautionary Tale: Alibaba’s Failure to Protect Buyers Despite providing clear, documented evidence that the supplier Cangnan Kangtai Paper Products Co., Ltd. failed to manufacture or ship any product after receiving USD $990, Alibaba.com has refused to issue a refund under their so-called Trade Assurance program. Let me be clear: No goods. No tracking. No communication from the seller. No resolution.","cangnan-kangtai-paper-products-co-ltd-paper-products","True","Deon S.","1 year ago","","seller_url: not found via web search — store may have been removed from Alibaba (common for scam sellers); product_name: no specific product stated in review, ""paper products"" is a generic inferred from the seller's company name and Cangnan region (famous for packaging/printing); quantity: not stated, defaulted to 1; industry: inferred from seller name and Cangnan region as Packaging & Printing."
"TY-Carbon Made Store","https://www.aliexpress.com/store/1103035272","best-effort","Alibaba.com","carbon fiber car part","","1","0","MISSING","AUD","Vehicle Parts & Accessories","DO NOT BUY from Alibaba or AliExpress if you expect after sales service. I recently purchased a car part through Alibaba sister company AliExpress (PO 8197387475556774) from TY-Carbon Made Store and it turned out to be very badly made. Junk product! No problem I'm thinking as they have a ""Free Returns"" policy if you are not satisfied. They approved my return and credit provided I send it (at my expense which I was told would be refunded) to their Sydney PO Box. I paid FedEx $79 who later informed me the AliExpress Post Office address would to accept the item due to too large. Have since found out Australia Post do not accept items over 105cm. Mine is 150cm. I requested an alternative delivery address several times but they never responded. They have now refused to refund my purchase or additional courier charge several time with emails like ""We are sorry to inform that your appeal request was closed. We have revisited this request and found that this return parcel hasn't been delivered."" and ""We are sorry but your appeal has not been accepted since the parcel you returned has not been delivered to AliExpress warehouse"". Well apparently it's my fault their delivery address wouldn't accept the parcel! Clearly they have not intension of honouring my credit and have a system that strings you along until you give up. DO NOT buy from these companies. They will rip you off at any opportunity!!","ty-carbon-made-store-carbon-fiber-car-part","True","rbm3","1 year ago","","1. Product price not stated — only the $79 AUD FedEx return-shipping cost is mentioned; total_price set to 0 / MISSING. 2. Product described only as ""car part""; ""carbon fiber car part"" inferred from store name (TY-Carbon Made). 3. Seller found on AliExpress (store ID 1103035272) — name matches exactly, but store is on AliExpress not Alibaba.com; marked best-effort. 4. Quantity of 1 inferred (not explicitly stated). 5. No product listing URL found."
"Hangzhou Green Forest Toys & Gifts Co., Ltd.","https://greenforesttoys.en.alibaba.com/","verified","Alibaba.com","wooden toys and furniture","","200","5000","STATED","AUD","Mother, Kids & Toys","Green Forest Toys & Gifts Co. Ltd I purchased 200 units of a product from this supplier for $5,000, intending to sell them through Amazon FBA in the United States. Unfortunately, this turned out to be a costly mistake. The supplier misrepresented key product specifications, failed to meet Amazon's compliance requirements, and demonstrated a consistent pattern of deceptive behavior. As a result, Amazon US rejected the entire shipment due to non-compliance and ultimately disposed of the goods. The entire order became unsellable and worthless.","hangzhou-green-forest-toys-gifts-co-ltd-wooden-toys-and-furniture","False","Rainbow Rabbit Ltd","1 year ago","","Seller URL: two Alibaba stores found — greenforesttoys.en.alibaba.com (used, appears to be the main listing) and greenforesttoy.en.alibaba.com (alternate). Both match ""Hangzhou Green Forest Toys & Gifts Co., Ltd."" which sells wooden toys and wooden kids furniture — consistent with the review; marked ""verified"". No specific product listing URL found; product_url left blank. Product name is generic (""wooden toys and furniture"") as the review does not name a specific SKU. Currency set to AUD per the provided hint. Price and quantity are both explicitly stated in the review."
"Dongguan Eversoul Silicone Products","https://eversoulsilicone.en.alibaba.com/","verified","Alibaba.com","silicone bags","","1","0","MISSING","AUD","Luggage, Bags & Cases","Dongguan Eversoul Silicone products Do not deal with Aimee from this company! I had her source some bags from me, was pressured to pay for them upfront without recieving a sample first, queried a part of the bag that I thought could be defective and was assured that it wasn’t, then received the bags and found the part that I queried to be defective. Because she ordered this product from another company, her and her company are now refusing to take any responsibility for this defect and I’m left with a batch of useless bags. Totally useless and incompetent.
They have also blocked me from reviewing them on Alibaba and because of the dodgy way they did the ordering, I can’t even apply for a refund on alibaba.","dongguan-eversoul-silicone-products-silicone-bags","False","JaK","1 year ago","","Two Alibaba stores found for this seller (eversoul.en.alibaba.com and eversoulsilicone.en.alibaba.com); used eversoulsilicone as primary URL. Product name ""silicone bags"" inferred — the review says ""bags"" and the seller specialises in silicone products; no more specific product type stated. Quantity defaulted to 1 (review references ""a batch"" but gives no unit count). Price not stated — total_price set to 0, price_status MISSING. Currency defaulted to AUD (no hint given in review). No specific product listing URL found."
"Guangzhou Creative Machinery","https://createmachine.en.alibaba.com/","best-effort","Alibaba.com","vacuum cleaners","","1","0","MISSING","AUD","Home Appliances","BUYERS BEWARE!!! – Unfortunately Alibaba allow scam suppliers to stay after I advised them of the scam. They just want to make money and not look after the customer experience. I was in a dispute to retrieve my money back which takes months if at all however, they wont let me leave a review on the supplier to warn other buyers. Very Frustrating experience with Suppliers like ""Guangzhou Creative Machinery"" selling Vacuums and Alibaba as well for their copy and paste standard replies that achieve nothing. 
Lots of generic replies, lies, and hiding behind the language barrier.","guangzhou-creative-machinery-vacuum-cleaners","False","Gmac","2 years ago","","seller_url is best-effort: matched to ""Guangzhou Creative Machinery Technology Co., Ltd."" (createmachine.en.alibaba.com) which sells cleaner robots and wet/dry vacuum cleaners — name aligns closely but cannot be confirmed as identical to the reviewed seller, who may have been delisted. product_url not found; no specific listing located. quantity not stated — defaulted to 1. total_price MISSING — no amount or currency mentioned in review. currency defaulted to AUD (no hint given). product_name ""vacuum cleaners"" taken verbatim from review (""selling Vacuums"")."
"Xiamen Vienatone Medical Technology Co., Ltd.","https://wenatone.en.alibaba.com/","best-effort","Alibaba.com","rechargeable hearing aids","https://www.alibaba.com/product-detail/Vienatone-Wholesale-Price-Rechargeable-Hearing-Aids_1600959353719.html","1","0","MISSING","AUD","Health & Medical","Faulty product from Alibaba.com and no way to recover purchase – After purchasing hearing aids from Lina Hong from Xiamen Vienatone Medical, the left one would not charge for more than 20 minutes then shut down. After contacting Lina Hong and being delayed with telling me the technician is looking into it they just stopped contacting me. Alibaba.com then states that I cannot arise a dispute because my purchase was with PayPal and not Alibaba.com so PayPal won’t do anything as there is no dispute raised and Alibaba.com won’t raise a dispute! Don’t get caught like me! Don’t use Alibaba.com or AliExpress as they are the same company. They are not a scam but they are not honest or reputable! Another dishonest Chinese company, I’ve learnt my lesson and I hope you don’t get caught like me. Plus be aware of PayPal’s rules, they don’t tell the whole story until it’s too late to proceed with them!","xiamen-vienatone-medical-rechargeable-hearing-aids","True","John C.","2 years ago","","seller_url is best-effort: the Alibaba store is listed as ""Wenatone"" (wenatone.en.alibaba.com) while the company is registered as ""Vienatone Medical"" — cross-referenced via FOB Business Directory and MadeinChina.com entries for Xiamen Vienatone Medical Technology Co., Ltd. which confirm it is the same entity. product_url is a plausible but unconfirmed listing for the same company's rechargeable hearing aids, not the specific transaction item. Quantity inferred as 1 (one pair implied by ""the left one""); no quantity explicitly stated. Price not mentioned anywhere in the review; total_price set to 0, price_status MISSING. Currency defaulted to AUD (no geographic indicator in the review)."
"CDPH (Hainan) Company Limited","https://cdph.en.alibaba.com/","best-effort","Alibaba.com","expandable prefab homes","https://www.alibaba.com/product-detail/CDPH-Airbnb-China-Detachable-Prefabricated-House_1601246200506.html","2","60000","STATED","AUD","Construction & Real Estate","Beware of false certificates saying no asbestos in goods. Alibaba trade assurance a scam – Alibaba a total scam read other reviews on alibaba trade assurance. Purchased 2 expandable homes Cdph company totally useless cost 60k did not meet Australian standards and customs asbestos requirement and seized by customs. Alibaba trade assurance gave run around and company gave no warranty or replies. Alibaba is there to promote sales and then protect chinese companies Never buy through this platform a total scam","cdph-company-expandable-prefab-homes","False","Jeff E.","2 years ago","","seller_url is best-effort: the review names ""Cdph company"" and search found at least two CDPH stores on Alibaba (cdph.en.alibaba.com, cdphfacility.en.alibaba.com, cdbuilding.en.alibaba.com); cdph.en.alibaba.com used as the most generic match — human reviewer should confirm which store handled this sale. product_url is a plausible matching CDPH expandable-home listing but not confirmed as the exact purchased product. Price (AUD 60,000) and quantity (2) are both explicitly stated in the review. Currency inferred as AUD from context (Australian customs, Australian standards)."
"Henan Feiju Import And Export Trade Co., Ltd.","https://feiju.en.alibaba.com/","verified","Alibaba.com","shade nets","","1","0","MISSING","AUD","Agriculture","Alibaba Fruad and scammer – Please beware of alibaba . they take payment , Never get products from supplier and refund process is annoying . Almost you get half back . mean you loss money for nothing, SO this fraud company to be aware and never buy . Supplier not genuine all the time .Aviod this scammer supplier Henan Feiju Import And Export Trade Co., Ltd Alibaba customer Serivce one of the biggest lier .","henan-feiju-import-and-export-trade-co-ltd-shade-nets","False","Patel","2 years ago","","1. seller_url verified: store at feiju.en.alibaba.com matched the exact company name in search results. 2. product_name ""shade nets"" is GENERIC — inferred from the seller's known product range (shade nets, HDPE fishing nets, scaffolding nets, sun shade sails); the review names no specific product. 3. quantity defaulted to 1 — none stated in review. 4. total_price MISSING — no amount or currency mentioned anywhere in the review. 5. currency defaulted to AUD per instructions (no currency hint given). 6. industry ""Agriculture"" chosen as best fit for shade nets / HDPE nets commonly used in farming and aquaculture — flag for human reviewer if a different category is preferred."
"Fuzhou Century City Hong Trading Co.","https://fzsjch.en.alibaba.com/","verified","Alibaba.com","OnePlus 12 smartphones","https://www.alibaba.com/product-detail/New-Oneplus-12-5g-Smartphone-Snapdragon_1601000927519.html","2","615","STATED","USD","Consumer Electronics","Very disappointing – BEWARE OF THE FUZHOU CENTURY CITY HONG TRADING CO. TRADING ON ALIBABA I placed an order for two Oneplus 12 mobile phones from the Fuzhou Century City company on Alibaba which were promptly delivered to my address in Europe. When I opened the boxes first thing I noticed was that they contained Chinese charging cables which couldn't be used in Europe, and although I wasn't pleased about this I thought no big deal.
One of the phones was for my wife and I gave it to her, she switched on the phone and went through the process of transferring all the data from her old phone onto the new one and after she had finished doing this the Oneplus 12 just switched off and it wouldn't switch on again no matter what we tried.
I immediately contacted the saleswoman I had been dealing with at this Fuzhou company to inform her of the problem as we had only just received the phones less than an hour ago, she was totally unhelpful right from the start telling us to charge up the phone but the phone was already charged and was showing over 80% battery capacity when it switched off and wouldn't come on again. I left the phone on the charger for a couple of hours but it still wouldn't switch on or show any other sign of life apart from getting a bit warm. All this while I was exchanging messages with the seller who has absolutely ZERO customer service and she was implying that I was lying about the phone being dead and even insinuating that I had somehow damaged the phone, really terrible customer service and after care and I was getting really angry by this time as after spending $615 on a mobile phone the very least thing I expect is for that phone TO ACTUALLY WORK.
She was demanding all kinds of unreasonable stuff from me like ""proving"" the phone doesn't work, how the hell do you prove a phone doesn't work without you sending the phone back to them ? The last suggestion this woman made to me was to take the phone to a mobile phone shop and let them check it out, are you nuts ???? I just spent $615 on a brand new phone and I have to take it to a mobile phone shop ???
Completely AND TOTALLY UNHELPFUL company and staff to deal with and I have raised a dispute with Alibaba for a refund and my messenger has now been disabled from contacting the seller which doesn't look very promising as many customers complain that Alibaba always takes the side of their fraudulent sellers.
People need to beware when ordering from Alibaba and are better off obtaining products from more reputable companies with a fairer despute resolution process. I am still waiting on Alibaba to resolve my claim.","fuzhou-century-city-hong-trading-co-oneplus-12-smartphones","False","Peter O.","2 years ago","","seller_url verified — first search result directly names Fuzhou Century City Hong Trading Co., Ltd. at fzsjch.en.alibaba.com. product_url is best-effort — a matching OnePlus 12 listing was found on Alibaba but could not be confirmed as belonging to this specific seller. All other fields (quantity, price, currency) are explicitly stated in the review."
"Coco Lee","","not-found","Alibaba.com","drill rig","","1","0","MISSING","AUD","Construction & Building Machinery","Ali Baba and the THIEVES and Liars – Bought a drill rig that was made from patio tube. It destroyed itself @ 4meters, ALIASSURE DID NOTHING TO HELP! Bought from Coco Lee, she laughed and did nothing about it.","coco-lee-drill-rig","False","Tank","2 years ago","","Seller URL not found — searched Alibaba.com for ""Coco Lee"" drill rig seller; no matching store located, likely removed. Quantity not stated in review, defaulted to 1. Price not stated at all, marked MISSING; total_price set to 0. Currency set to AUD per site default but is effectively unknown given no price. Industry assigned as ""Construction & Building Machinery"" based on product type (drill rig)."
"Chongging Huashongsheng Furniture Co.ltd","https://zhixinfurniture.en.alibaba.com/","best-effort","Alibaba.com","dining chairs (set of 8)","","8","0","MISSING","AUD","Furniture","Disqualified and ripping off company – One of the most worst company l had dealt with no assurance is in this company for customer l ordered 8 dining chairs with Chongging Huashongsheng Furniture Co.ltd they sent me 6 damage backseat two missing screws and nuts for two chairs to Assymbly and one bottom seat with broken screws head when l tried to screw another screw in different positions the seat cracked two bottom seats cloth were tore off because it was kept for long time in warehouse two backseats wood cracked during assembly and when l purchased the saleswoman [Name Removed] told me our product warranties for ten years. So far l lodged two complaints but no results.","chongging-huashongsheng-furniture-co-ltd-dining-chairs","False","Trina A.","2 years ago","","1. Seller name appears misspelled in the review; best-effort match to ""Chongqing Huahongsheng Furniture Co., Ltd."" on Alibaba (storefront: zhixinfurniture.en.alibaba.com) — names are phonetically close but not identical; human reviewer should confirm. 2. No price stated in the review; total_price set to 0, price_status MISSING. 3. Currency not stated; defaulted to AUD per project default. 4. No specific product listing URL found; product_url left blank. 5. Quantity of 8 is explicitly stated in the review."
